, Fuel Type, Transmission, Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Driver Armrest, Headrests, Rear Passenger Seats Type, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Pockets in Front Seat-back, Body Coloured Bumpers, Body Kit, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Central Locking, Anti-glare Rear View Mirrors, Folding Rear Seat, Power Windows, Speed Sensing Door Lock, Mileage or  Average Fuel Consumption, Distance to Empty, Integrated Music System, Infotainment Display, Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Vanity Mirrors on Sun Visors, Rear Wiper, Rear Glass Defogger, Turn Indicators on ORVM, Follow me home head Lights, Sunglass Holder, Roof Mounted Antenna, Rub - Strips, Others, Anchor Points for Child Seat, GPS & Navigation, Adjustment Options - Rear Row Seat, Armrest for Rear Seat, Daytime Running Lights, Fog Lamps, Puddle Lights, Ambient or soft Interior Lighting, Cooled Glove Box, Seat Adjustment, Turbo / SuperCharger, NCAP Rating (Best - 5 Star), Window Control: One Touch -Down, Doot Sill Plates, Head Rest for Middle Rear Seat, Brake Assist in Emergency (BA), Lights on Vanity Mirrors, Sunroof / Moonroof, Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Parking Assist, Voice Command Support, Push Button Start / Stop, Cruise Control Driving Mode, Split Rear Seat, WIndow Control: One Touch - Up, Rain-sensing Wipers, Automatic Head Lights, Leather-wrapped Steering, Leather-wrapped Gear Knob, Storage in Driver Armrest, CD Player, Middle rear three-point seatbelt, Tyre Pressure Monitoring (TPMS), Light inside Glove Box, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Remote Sunroof Open/Close Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Real Time Mileage, Average Speed, Unit / Display Size, Third Row Seats Type, Cornering Headlights, Differential Lock, Hill Descent Control, 4x4 or All Wheel Drive, Rear AC, Flashing Emergency Brake Light , Adjustment Options - Third Row Seat, Chrome Finish Exhaust pipe, Alexa Compatibility, Reading Lamp for Rear Passengers, Wireless Charger, AC for Third Row, Split Third Row Seat, Third Row Cup Holders, Time for 0-100 kmph Acceleration , Forward Collision Warning , Automatic Emergency Braking, High-beam Assist, Lane Departure Warning, Mileage - ARAI Reported, Driving Range (km), Internal Hard-disk, Electric Motor, Peak Motor Performance, Battery, Battery Warranty (Years), Top Speed
60, Diesel," Automatic (TC) - 6 Gears, Manual Override"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 370 Nm @ 1500 rpm, RWD, BS6 Phase 2, Power assisted (Hydraulic),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Steel Rims, 245 / 65 R17, 245 / 65 R17, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Painted, Painted, Body Coloured, Electrically Adjustable, Internal with Remote, Halogen,No information, LED, Single Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3,,,Mahindra Scorpio N Z4 Diesel AT 2WD 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information,,,,,No information,, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information,,,No information,No information,No information,,,,No information, 60:40 split, Driver,,,,,No information,,,,,,,,,,,,,,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,,,,,,,,,,,,,,,,,,,
61, Diesel, Manual - 6 Gears," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 400 Nm @ 1750 rpm, 4WD / AWD, BS6 Phase 2, Power assisted (Hydraulic),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Steel Rims, 245 / 65 R17, 245 / 65 R17, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Rear, Digital,No information, Analogue," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Painted, Painted, Body Coloured, Electrically Adjustable, Internal with Remote, Halogen,No information, LED, Single Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3,,,Mahindra Scorpio N Z4 Diesel MT 4WD 7 STR (E),No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information,,,,,No information,, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information,,,No information,No information,No information,,,,No information, 60:40 split, Driver,,,,,No information,,,,,,,,,,,,,,No information,No information, Not Applicable, Bench,, Electronic,, Manual Shift - Electronic," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,,,,,,,,,,,,,,,,,,,
62, Diesel, Manual - 6 Gears," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 400 Nm @ 1750 rpm, 4WD / AWD, BS6 Phase 2, Power assisted (Hydraulic),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Steel Rims, 245 / 65 R17, 245 / 65 R17, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Rear, Digital,No information, Analogue," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Painted, Painted, Body Coloured, Electrically Adjustable, Internal with Remote, Halogen,No information, LED, Single Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3,,,Mahindra Scorpio N Z4 Diesel MT 4WD 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information,,,,,No information,, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information,,,,,,,,,No information, 60:40 split, Driver,,,,,No information,,,,,,,,,,,,,,No information,No information, Not Applicable, Bench,, Electronic,, Manual Shift - Electronic," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,,,,,,,,,,,,,,,,,,,
63, Diesel," Automatic (TC) - 6 Gears, Manual Override, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 400 Nm @ 1750 rpm, RWD, BS6 Phase 2, Power assisted (Electric),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Steel Rims, 245 / 65 R17, 245 / 65 R17, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Painted, Painted, Body Coloured, Electrically Adjustable, Internal with Remote, Halogen,No information, LED, Single Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3,,,Mahindra Scorpio N Z6 Diesel AT 2WD 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information,,,,,No information,, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information,, Electrically Adjustable,No information,No information,No information,,No information,,No information, 60:40 split, Driver,,,,,No information,,,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
64, Petrol," Manual - 6 Gears, Sport Mode"," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L I4 mStallion 150 TGDi, 200 bhp @ 5000 rpm, 370 Nm @ 1750 rpm, RWD, BS6 Phase 2, Power assisted (Electric),, Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Steel Rims, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 Petrol MT 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
65, Diesel," Manual - 6 Gears, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 370 Nm @ 1500 rpm, RWD, BS6 Phase 2, Power assisted (Electric),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Steel Rims, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 Diesel MT 2WD 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
66, Petrol," Automatic (TC) - 6 Gears, Manual Override, Sport Mode"," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L I4 mStallion 150 TGDi, 200 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, RWD, BS6 Phase 2, Power assisted (Electric),, Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Alloy Wheels, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 Petrol AT 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
67, Petrol," Manual - 6 Gears, Sport Mode"," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L I4 mStallion 150 TGDi, 200 bhp @ 5000 rpm, 370 Nm @ 1750 rpm, RWD, BS6 Phase 2, Power assisted (Electric),, Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Alloy Wheels, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Front & Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 4 way electrically adjustable (seat forward / back, backrest tilt forward / back) + 4 way manually adjustable (headrest up / down, lumbar up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 L Petrol MT 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 12,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
68, Petrol," Manual - 6 Gears, Sport Mode"," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L I4 mStallion 150 TGDi, 200 bhp @ 5000 rpm, 370 Nm @ 1750 rpm, RWD, BS6 Phase 2, Power assisted (Electric),, Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Alloy Wheels, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 6, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Front & Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 4 way electrically adjustable (seat forward / back, backrest tilt forward / back) + 4 way manually adjustable (headrest up / down, lumbar up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Captain Seats, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 L Petrol MT 6 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 12,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
69, Diesel," Manual - 6 Gears, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 370 Nm @ 1500 rpm, RWD, BS6 Phase 2, Power assisted (Electric),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Alloy Wheels, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,, Front & Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 4 way electrically adjustable (seat forward / back, backrest tilt forward / back) + 4 way manually adjustable (headrest up / down, lumbar up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 L Diesel MT 2WD 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 12,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
70, Diesel," Automatic (TC) - 6 Gears, Manual Override, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2L I4 mHawk 130, 172 bhp @ 3500 rpm, 400 Nm @ 1750 rpm, RWD, BS6 Phase 2, Power assisted (Electric),,  Front Suspension: Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,  Rear Suspension: Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL, Alloy Wheels, 255 / 60 R18, 255 / 60 R18, Steel,, 57, 7, 4662, 1917, 1857, 2750, 187, 3, 5," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",No information,No information, Ventilated Disc, Ventilated Disc,No information,No information, Leatherette," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal with Remote, LED,No information, LED, Dual Tone, Black/Brown, Front and Rear, Front & Rear, Front & Rear,No information,No information,, 3,,,Mahindra Scorpio N Z8 Diesel AT 2WD 7 STR,No information,, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,,, Co-Driver Only,No information,No information,No information,No information,No information,No information,,  Idle Start/Stop,No information,No information," 4 way manually adjustable (backrest tilt forward / back, headrest up / down)",No information, LED, LED,,,No information,, Turbocharged, 5 Star (Global NCAP), All,No information,No information,No information,, Electrically Adjustable,No information,No information,No information, Reverse Camera,No information,No information,No information, 60:40 split, All,No information,No information,No information,No information,No information,,,No information,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Not Applicable, Bench,,,No information,," Blower, Vents Behind Front Armrest",No information, 2 way manually adjustable (headrest up / down),No information,No information,No information,,,,,,,,,,,,,,,,,
