, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Anti theft Engine immobilizer, Puncture Repair Kit, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Electronic Stability Program (ESP), Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Roof Mounted Antenna, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Speed Sensing Door Lock, Central Locking, Integrated Music System, Unit / Display Size, Infotainment Display, Steering Mounted Controls, Speakers, Aux Support, MP3 Playback, Power Windows, Turn Indicators on ORVM, Follow me home head Lights, Parking Assist, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, iPod Compatibility, Vanity Mirrors on Sun Visors, Alternate Fuel, Voice Command Support, Anti-glare Rear View Mirrors, Active Gear Display, Tyre Pressure Monitoring (TPMS), Window Control: One Touch -Down, Rear Wiper, Rear Glass Defogger, Daytime Running Lights, Fog Lamps, Cooled Glove Box, Others, Anchor Points for Child Seat, Real Time Mileage, Average Speed, Braking Performance, Lights on Vanity Mirrors, Body Kit, Flashing Emergency Brake Light , Push Button Start / Stop, Cruise Control Driving Mode, Cornering Headlights, Light inside Glove Box, Traction Control, Adjustment Options - Rear Row Seat, Armrest for Rear Seat, Rain-sensing Wipers, Automatic Head Lights, Puddle Lights, Leather-wrapped Steering, Leather-wrapped Gear Knob, Pockets in Front Seat-back, Seat Adjustment, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, GPS & Navigation, Brake Assist in Emergency (BA), Doot Sill Plates, Ambient or soft Interior Lighting, Turbo / SuperCharger, Sunglass Holder, Rear AC, Driver Armrest, Storage in Driver Armrest, Sunroof / Moonroof, WIndow Control: One Touch - Up, Wireless Charger, Rub - Strips, Hill Hold Assist, Split Rear Seat, Ventilated Seats, Ventilated Seat Type, Electric Motor, Peak Motor Performance, Battery, Remote AC Control Via app, Battery Warranty (Years), Top Speed, Time for 0-100 kmph Acceleration , Battery Charging, Hill Descent Control, Reading Lamp for Rear Passengers, Forward Collision Warning , High-beam Assist, Lane Departure Warning, AC for Third Row, Adjustment Options - Third Row Seat, Third Row Seats Type, Split Third Row Seat, Third Row Cup Holders
159, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L Turbocharged Revotorq, 113 bhp @ 3750 rpm, 260 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Single Tone, Black, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUX Diesel Dark Edition,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,No information," Blower, Vents Behind Front Armrest",No information,No information,,,, Black,No information, 60:40 split,,,,,,,,,,,,,,,,,,,,
160, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L Turbocharged Revotorq, 113 bhp @ 3750 rpm, 260 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Off-White and Grey, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUXS Diesel,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,No information," Blower, Vents Behind Front Armrest",No information,No information, Electrically Adjustable,,, Black,No information, 60:40 split,,,,,,,,,,,,,,,,,,,,
161, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L Turbocharged Revotorq, 113 bhp @ 3750 rpm, 260 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Off-White and Grey, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUXS Diesel Kaziranga,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,," Blower, Vents Behind Front Armrest",No information,No information, Electrically Adjustable,,, Black,No information, 60:40 split, Front only, Cooled,,,,,,,,,,,,,,,,,,
162, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L Turbocharged Revotorq, 113 bhp @ 3750 rpm, 260 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Off-White and Grey, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUXS Diesel Dual Tone,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,No information," Blower, Vents Behind Front Armrest",No information,No information, Electrically Adjustable,,, Black,No information, 60:40 split,,,,,,,,,,,,,,,,,,,,
163, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 3 Cylinders Inline, 2 Valves/Cylinder, SOHC", 1.2L Turbocharged Revotron, 113 bhp @ 3750 rpm, 170 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Single Tone, Black, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUXS Diesel Dark Edition,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,No information," Blower, Vents Behind Front Armrest",No information,No information,,,, Black,No information, 60:40 split,,,,,,,,,,,,,,,,,,,,
164, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5L Turbocharged Revotorq, 113 bhp @ 3750 rpm, 260 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Off-White and Grey, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUXS Diesel Jet,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,No information," Blower, Vents Behind Front Armrest",No information,No information, Electrically Adjustable,,, Black,No information, 60:40 split,,,,,,,,,,,,,,,,,,,,
165, Diesel," AMT - 6 Gears, Manual Override, Sport Mode", 24.07, 1059," 1497 cc, 3 Cylinders Inline, 2 Valves/Cylinder, SOHC", 1.2L Turbocharged Revotron, 113 bhp @ 3750 rpm, 170 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.1," Independent, Lower Wishbone, McPherson Strut with Coil Spring", Semi-Independent; closed profile Twist beam with Coil Spring and shock absorber, Alloy Wheels, 215 / 60 R16, 215 / 60 R16, Steel, 350, 44, 5, 3993, 1811, 1606, 2498, 209,, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information,No information, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Single Tone, Black, Front, Front & Rear, Front & Rear,No information,No information, 3, 100000,No information,Tata Nexon XZA Plus LUXS Diesel Red Dark Edition,No information, Keyless,No information,, Touch-screen Display,No information, 8,No information,No information, Front & Rear,No information,No information, Reverse Camera with Guidance,No information, Phone & Audio Streaming,No information,No information, Co-Driver Only,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED," Halogen on front, Halogen on rear",No information,,No information,No information,No information,,, Cladding - Black/Grey,,No information,No information, Passive,No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder,No information,No information,,No information,No information,, 2 Way,No information,No information,No information,No information,,,No information,No information,No information, Optional , Optional, Turbocharged,No information," Blower, Vents Behind Front Armrest",No information,No information, Electrically Adjustable,,, Black,No information, 60:40 split,,,,,,,,,,,,,,,,,,,,
166, CNG, Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No information,," 1 beep over 80kmph, Continuous beeps over 120kmph ",,,,,,,,,,,,,,,,,,,,,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,Tata Nexon CNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167, Electric," Automatic - 1 Gears, Sport Mode",, 250,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", Permanent Magnet Synchronous Motor ,,, FWD, BS 6, Power assisted (Electric), 5.1, Independent lower wishbone Mcpherson dual path (Strut type),  Rear twist beam with coil spring mounted on hydraulic shock absorbers , Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 240,, 5, 3769, 1677, 1536, 2400,,, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information,No information," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information,, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Black, Painted, Black, Internally Adjustable, Internal, Halogen,No information, Halogen, Dual Tone, Premium Light Grey & Black Interior, Front, Front Only, Front & Rear,,No information, 3, 125000, 160000,Tata Tiago EV XE Medium Range,No information, Remote,, Not Applicable,,,,,,,,,,,,,,,,,,No information,No information,,,,,,," Regenerative Braking, Pure Electric Driving Mode",,No information,No information,,,,,,,,,,,,,,,,,,,No information,No information,,,,,No information,,,,,,,,,,,,,,,,,, 1 Permanent magnet synchronous Placed At Front  Axle, 60 bhp  110 Nm," 19.2 kWh, Lithium Ion,Battery Placed Under Rear Seats",No information, 8,,,,,,,,,,,,,
168, Electric," Automatic - 1 Gears, Sport Mode",, 250,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", Permanent Magnet Synchronous Motor ,,, FWD, BS 6, Power assisted (Electric), 5.1, Independent lower wishbone Mcpherson dual path (Strut type),  Rear twist beam with coil spring mounted on hydraulic shock absorbers , Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 240,, 5, 3769, 1677, 1536, 2400,,, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information,No information," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information,, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Black, Externally Adjustable, Internal, Halogen,No information, Halogen, Dual Tone, Premium Light Grey & Black Interior, Front, Front Only, Front & Rear,No information,No information, 3, 125000, 160000,Tata Tiago EV XT Medium Range,No information, Remote,No information, Not Applicable, Touch-screen Display,No information, 4,No information,, Front & Rear,No information,No information,,No information, Phone & Audio Streaming,No information,No information,,,No information, Manual - Internal Only,No information,No information,,,,,,," Regenerative Braking, Pure Electric Driving Mode",,No information,No information,,,,,,,,,,,,,,,,,,,No information,No information,No information,No information,,,No information,,,,,,,,,,,,,,,,,, 1 Permanent magnet synchronous Placed At Front  Axle, 60 bhp  110 Nm," 19.2 kWh, Lithium Ion,Battery Placed Under Rear Seats",No information, 8,,,,,,,,,,,,,
169, Electric," Automatic - 1 Gears, Sport Mode",, 315,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", Permanent Magnet Synchronous Motor ,,, FWD, BS 6, Power assisted (Electric), 5.1, Independent lower wishbone Mcpherson dual path (Strut type),  Rear twist beam with coil spring mounted on hydraulic shock absorbers , Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 240,, 5, 3769, 1677, 1536, 2400,,, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information,No information," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information,, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Body Coloured, Painted, Black, Externally Adjustable, Internal, Halogen,No information, Halogen, Dual Tone, Premium Light Grey & Black Interior, Front, Front Only, Front & Rear,No information,No information, 3, 125000, 160000,Tata Tiago EV XT Long Range,No information, Remote,No information, Not Applicable, Touch-screen Display,No information, 4,No information,, Front & Rear,No information,No information,,No information, Phone & Audio Streaming,No information,No information,,,No information, Manual - Internal Only,No information,No information,,,,,,," Regenerative Braking, Pure Electric Driving Mode",,No information,No information,,,,,,,,,,,,,,,,,,,No information,No information,No information,No information,,,No information,,,,,,,,,,,,,,,,,, 1 Permanent magnet synchronous Placed At Front  Axle, 74 bhp  114 Nm," 24 kWh, Lithium Ion,Battery Placed Under Rear Seats",No information, 8,,,,,,,,,,,,,
170, Electric," Automatic - 1 Gears, Sport Mode",, 315,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", Permanent Magnet Synchronous Motor ,,, FWD, BS 6, Power assisted (Electric), 5.1, Independent lower wishbone Mcpherson dual path (Strut type),  Rear twist beam with coil spring mounted on hydraulic shock absorbers , Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 240,, 5, 3769, 1677, 1536, 2400,,, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information,No information," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information,, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Black, Electrically Adjustable & Retractable, Internal, Halogen Projector,No information, Halogen, Dual Tone, Premium Light Grey & Black Interior, Front, Front Only, Front & Rear,No information,No information, 3, 125000, 160000,Tata Tiago EV XZ Plus Long Range,No information, Remote,No information, Not Applicable, Touch-screen Display,No information, 8,No information,, Front & Rear,No information,No information, Reverse Camera,No information, Phone & Audio Streaming,No information,No information,,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED, Halogen,No information," Regenerative Braking, Pure Electric Driving Mode",,No information,No information,,,,,,No information,,,,,,No information,No information,,,,,,No information,No information,No information,No information,,,No information,,,,,,,,,,, Driver,,,,,,, 1 Permanent magnet synchronous Placed At Front  Axle, 74 bhp  114 Nm," 24 kWh, Lithium Ion,Battery Placed Under Rear Seats",No information, 8,,,,,,,,,,,,,
171, Electric," Automatic - 1 Gears, Sport Mode",, 315,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", Permanent Magnet Synchronous Motor ,,, FWD, BS 6, Power assisted (Electric), 5.1, Independent lower wishbone Mcpherson dual path (Strut type),  Rear twist beam with coil spring mounted on hydraulic shock absorbers , Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 240,, 5, 3769, 1677, 1536, 2400,,, 2, 5, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Digital,No information,No information, Electronic 2 Trips,No information,No information,No information,, Rear, Digital,No information,No information," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information,, Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Full, Chrome, Chrome, Black, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, Halogen, Dual Tone, Premium Light Grey & Black Interior, Front, Front Only, Front & Rear,No information,No information, 3, 125000, 160000,Tata Tiago EV XZ Plus Tech LUX Long Range,No information, Keyless,No information, Not Applicable, Touch-screen Display,No information, 8,No information,, Front & Rear,No information,No information, Reverse Camera,No information, Phone & Audio Streaming,No information,No information,,,No information, Manual - Internal Only,No information,No information, Driver,No information,No information, LED, Halogen,No information," Regenerative Braking, Pure Electric Driving Mode",,No information,No information,,,,,No information,No information,,,,,,No information,No information,,No information,,,,No information,No information,No information,No information,,,No information,,,,,,,,,,, Driver,,,,,,, 1 Permanent magnet synchronous Placed At Front  Axle, 74 bhp  114 Nm," 24 kWh, Lithium Ion,Battery Placed Under Rear Seats",No information, 8,,,,,,,,,,,,,
